kH,c
6.100000068545341492e-02,1.149036621093750000e+03
6.528461724519729614e-02,1.091587280273437500e+03
6.956923007965087891e-02,1.037007934570312500e+03
7.385385036468505859e-02,9.851763916015625000e+02
7.813846319913864136e-02,9.359249877929687500e+02
8.242307603359222412e-02,8.891341552734375000e+02
8.670769631862640381e-02,8.447061767578125000e+02
9.099230915307998657e-02,8.024876098632812500e+02
9.527692198753356934e-02,7.623869018554687500e+02
9.956154227256774902e-02,7.471391601562500000e+02
1.038461551070213318e-01,7.321964111328125000e+02
1.081307679414749146e-01,7.175524902343750000e+02
1.124153882265090942e-01,7.032014770507812500e+02
1.167000010609626770e-01,6.891374511718750000e+02
