kH,c
6.100000068545341492e-02,1.149021484375000000e+03
6.528461724519729614e-02,1.091570434570312500e+03
6.956923007965087891e-02,1.036991943359375000e+03
7.385385036468505859e-02,9.851397094726562500e+02
7.813846319913864136e-02,9.358800659179687500e+02
8.242307603359222412e-02,8.890834350585937500e+02
8.670769631862640381e-02,8.446263427734375000e+02
9.099230915307998657e-02,8.023922119140625000e+02
9.527692198753356934e-02,7.622755126953125000e+02
9.956154227256774902e-02,7.470300292968750000e+02
1.038461551070213318e-01,7.320894165039062500e+02
1.081307679414749146e-01,7.174476318359375000e+02
1.124153882265090942e-01,7.030986938476562500e+02
1.167000010609626770e-01,6.890367431640625000e+02
