Layers,N20_c,N20_err,N30_c,N30_err,N40_c,N40_err
3,1.0391098142166915,0.006331633836338889,1.0391427612719781,0.006300127593063449,1.039148467186581,0.006294671204563151
4,1.0391048445491342,0.0063363861747100896,1.0391817823653904,0.006262812936223162,1.0391832548594815,0.006261404835964966
5,1.0391788373772084,0.006265629136739342,1.0391624558804458,0.006281294252110925,1.0391607993245933,0.006282878364901395
6,1.0391537129467803,0.00628965484739354,1.0391509520203595,0.006292295035377658,1.0391432214263816,0.006299687561732763
