kH,c
6.100000068545341492e-02,1.149026000976562500e+03
6.528461724519729614e-02,1.091574707031250000e+03
6.956923007965087891e-02,1.036995971679687500e+03
7.385385036468505859e-02,9.851463623046875000e+02
7.813846319913864136e-02,9.358891601562500000e+02
8.242307603359222412e-02,8.890947265625000000e+02
8.670769631862640381e-02,8.446399536132812500e+02
9.099230915307998657e-02,8.024079589843750000e+02
9.527692198753356934e-02,7.622875366210937500e+02
9.956154227256774902e-02,7.470418090820312500e+02
1.038461551070213318e-01,7.321010131835937500e+02
1.081307679414749146e-01,7.174589843750000000e+02
1.124153882265090942e-01,7.031098022460937500e+02
1.167000010609626770e-01,6.890476074218750000e+02
