Comparison,MSE,RMSE,MAPE (%)
PINN vs Analytical,0.0029225971027314365,0.05406104977459684,2.35937914637336
PINN vs SAFE-FEM,0.0007307226750045197,0.02703188256493653,1.0981991128141566
Analytical vs SAFE-FEM,0.0010947704055289957,0.0330873148733619,1.454491740683858
