kH,c
6.100000068545341492e-02,1.149029174804687500e+03
6.528461724519729614e-02,1.091577758789062500e+03
6.956923007965087891e-02,1.036998901367187500e+03
7.385385036468505859e-02,9.851687011718750000e+02
7.813846319913864136e-02,9.359385986328125000e+02
8.242307603359222412e-02,8.891654052734375000e+02
8.670769631862640381e-02,8.447261962890625000e+02
9.099230915307998657e-02,8.025203247070312500e+02
9.527692198753356934e-02,7.624227294921875000e+02
9.956154227256774902e-02,7.471743164062500000e+02
1.038461551070213318e-01,7.322308349609375000e+02
1.081307679414749146e-01,7.175862426757812500e+02
1.124153882265090942e-01,7.032345581054687500e+02
1.167000010609626770e-01,6.891698608398437500e+02
