kH,c
6.100000068545341492e-02,1.149023559570312500e+03
6.528461724519729614e-02,1.091572387695312500e+03
6.956923007965087891e-02,1.036993774414062500e+03
7.385385036468505859e-02,9.851455688476562500e+02
7.813846319913864136e-02,9.358887329101562500e+02
8.242307603359222412e-02,8.890948486328125000e+02
8.670769631862640381e-02,8.446400146484375000e+02
9.099230915307998657e-02,8.024083862304687500e+02
9.527692198753356934e-02,7.622879638671875000e+02
9.956154227256774902e-02,7.470422363281250000e+02
1.038461551070213318e-01,7.321013793945312500e+02
1.081307679414749146e-01,7.174593505859375000e+02
1.124153882265090942e-01,7.031101684570312500e+02
1.167000010609626770e-01,6.890479736328125000e+02
