kH,c
6.100000068545341492e-02,1.149046264648437500e+03
6.528461724519729614e-02,1.091604370117187500e+03
6.956923007965087891e-02,1.037026855468750000e+03
7.385385036468505859e-02,9.852036132812500000e+02
7.813846319913864136e-02,9.359628906250000000e+02
8.242307603359222412e-02,8.891767578125000000e+02
8.670769631862640381e-02,8.447391357421875000e+02
9.099230915307998657e-02,8.025271606445312500e+02
9.527692198753356934e-02,7.624147338867187500e+02
9.956154227256774902e-02,7.471664428710937500e+02
1.038461551070213318e-01,7.322231445312500000e+02
1.081307679414749146e-01,7.175786743164062500e+02
1.124153882265090942e-01,7.032271118164062500e+02
1.167000010609626770e-01,6.891625976562500000e+02
