Layers,N10,N20,N30
30,689.0457153320312,689.0455932617188,689.0455322265625
40,689.0454711914062,689.0455322265625,689.0455322265625
50,689.0454711914062,689.0454711914062,689.0455932617188
60,689.0454711914062,689.0455932617188,689.0457153320312
