kH,c
6.100000068545341492e-02,1.149297607421875000e+03
6.528461724519729614e-02,1.091833374023437500e+03
6.956923007965087891e-02,1.037241699218750000e+03
7.385385036468505859e-02,9.859412841796875000e+02
7.813846319913864136e-02,9.370318603515625000e+02
8.242307603359222412e-02,8.901801147460937500e+02
8.670769631862640381e-02,8.456710815429687500e+02
9.099230915307998657e-02,8.033874511718750000e+02
9.527692198753356934e-02,7.632182006835937500e+02
9.956154227256774902e-02,7.479538574218750000e+02
1.038461551070213318e-01,7.329948120117187500e+02
1.081307679414749146e-01,7.183348999023437500e+02
1.124153882265090942e-01,7.039682006835937500e+02
1.167000010609626770e-01,6.898888549804687500e+02
