kH,c
6.100000068545341492e-02,1.149041137695312500e+03
6.528461724519729614e-02,1.091589111328125000e+03
6.956923007965087891e-02,1.037009643554687500e+03
7.385385036468505859e-02,9.851882934570312500e+02
7.813846319913864136e-02,9.359539794921875000e+02
8.242307603359222412e-02,8.891750488281250000e+02
8.670769631862640381e-02,8.447435913085937500e+02
9.099230915307998657e-02,8.025272216796875000e+02
9.527692198753356934e-02,7.624279785156250000e+02
9.956154227256774902e-02,7.471794433593750000e+02
1.038461551070213318e-01,7.322358398437500000e+02
1.081307679414749146e-01,7.175911254882812500e+02
1.124153882265090942e-01,7.032393188476562500e+02
1.167000010609626770e-01,6.891745605468750000e+02
