3.659999966621398926e-01,1.784151449573100345e+00
3.917077183723449707e-01,1.653285377703245906e+00
4.174153804779052734e-01,1.545226209428339992e+00
4.431231021881103516e-01,1.455269983851283699e+00
4.688307642936706543e-01,1.379846447127007769e+00
4.945384562015533447e-01,1.316202350231802098e+00
5.202461481094360352e-01,1.262186887890597076e+00
5.459538698196411133e-01,1.216100159566515737e+00
5.716615319252014160e-01,1.176585555433309560e+00
5.973692536354064941e-01,1.142550596467811097e+00
6.230769157409667969e-01,1.113109391903968959e+00
6.487846374511718750e-01,1.087538159391332249e+00
6.744923591613769531e-01,1.065242467182740294e+00
7.002000212669372559e-01,1.045731214519677099e+00
