kH,c
6.100000068545341492e-02,1.149030273437500000e+03
6.528461724519729614e-02,1.091578735351562500e+03
6.956923007965087891e-02,1.036999755859375000e+03
7.385385036468505859e-02,9.851499633789062500e+02
7.813846319913864136e-02,9.358934326171875000e+02
8.242307603359222412e-02,8.890987548828125000e+02
8.670769631862640381e-02,8.446439208984375000e+02
9.099230915307998657e-02,8.024118041992187500e+02
9.527692198753356934e-02,7.626834716796875000e+02
9.956154227256774902e-02,7.474298095703125000e+02
1.038461551070213318e-01,7.324812011718750000e+02
1.081307679414749146e-01,7.178316040039062500e+02
1.124153882265090942e-01,7.034749755859375000e+02
1.167000010609626770e-01,6.894055175781250000e+02
