kH,c
6.100000068545341492e-02,1.149023193359375000e+03
6.528461724519729614e-02,1.091572021484375000e+03
6.956923007965087891e-02,1.037014282226562500e+03
7.385385036468505859e-02,9.851932373046875000e+02
7.813846319913864136e-02,9.359506835937500000e+02
8.242307603359222412e-02,8.891765136718750000e+02
8.670769631862640381e-02,8.447344970703125000e+02
9.099230915307998657e-02,8.025228271484375000e+02
9.527692198753356934e-02,7.624189453125000000e+02
9.956154227256774902e-02,7.471705932617187500e+02
1.038461551070213318e-01,7.322271728515625000e+02
1.081307679414749146e-01,7.175826416015625000e+02
1.124153882265090942e-01,7.032310180664062500e+02
1.167000010609626770e-01,6.891663818359375000e+02
