kH,c
6.100000068545341492e-02,1.149027099609375000e+03
6.528461724519729614e-02,1.091575683593750000e+03
6.956923007965087891e-02,1.036996826171875000e+03
7.385385036468505859e-02,9.851477661132812500e+02
7.813846319913864136e-02,9.358922119140625000e+02
8.242307603359222412e-02,8.890980224609375000e+02
8.670769631862640381e-02,8.446447753906250000e+02
9.099230915307998657e-02,8.024133300781250000e+02
9.527692198753356934e-02,7.626843872070312500e+02
9.956154227256774902e-02,7.474307250976562500e+02
1.038461551070213318e-01,7.324821166992187500e+02
1.081307679414749146e-01,7.178324584960937500e+02
1.124153882265090942e-01,7.034758300781250000e+02
1.167000010609626770e-01,6.894063110351562500e+02
