kH,c
6.100000068545341492e-02,1.149025390625000000e+03
6.528461724519729614e-02,1.091574096679687500e+03
6.956923007965087891e-02,1.036995361328125000e+03
7.385385036468505859e-02,9.851721801757812500e+02
7.813846319913864136e-02,9.359435424804687500e+02
8.242307603359222412e-02,8.891638793945312500e+02
8.670769631862640381e-02,8.447322998046875000e+02
9.099230915307998657e-02,8.025188598632812500e+02
9.527692198753356934e-02,7.624207763671875000e+02
9.956154227256774902e-02,7.471723632812500000e+02
1.038461551070213318e-01,7.322289428710937500e+02
1.081307679414749146e-01,7.175843505859375000e+02
1.124153882265090942e-01,7.032326660156250000e+02
1.167000010609626770e-01,6.891680297851562500e+02
